overall_rank,rank_within_dataset,dataset,model,test_f1_weighted,test_accuracy,test_balanced_accuracy,test_precision_w,test_recall_w,test_cohen_kappa,test_mcc,val_f1_weighted,val_accuracy,fit_time
1,1,AlphaEarth,LGBMClassifier,0.9566,0.9579,0.8282,0.9581,0.9579,0.9272,0.9274,0.9585,0.9569,38.41
2,2,AlphaEarth,XGBClassifier,0.9541,0.9556,0.8088,0.9557,0.9556,0.9232,0.9234,0.9593,0.9577,26.2
3,3,AlphaEarth,RandomForestClassifier,0.9508,0.9530,0.8045,0.9535,0.9530,0.9186,0.9188,0.9556,0.9543,27.03
4,4,AlphaEarth,LinearSVC,0.9424,0.9437,0.8130,0.9446,0.9437,0.9027,0.9029,0.9517,0.9501,34.42
5,1,Sentinel-2 (All Features),LGBMClassifier,0.9316,0.9329,0.8118,0.9325,0.9329,0.8841,0.8842,0.9252,0.9173,30.9
6,2,Sentinel-2 (All Features),RandomForestClassifier,0.9286,0.9310,0.7894,0.9290,0.9310,0.8805,0.8807,0.9291,0.9259,146.38
7,3,Sentinel-2 (All Features),XGBClassifier,0.9282,0.9316,0.7758,0.9284,0.9316,0.8812,0.8815,0.9295,0.9268,23.03
8,1,Sentinel-2 (Bands Only),XGBClassifier,0.9260,0.9295,0.7646,0.9260,0.9295,0.8775,0.8778,0.9281,0.9265,22.19
9,2,Sentinel-2 (Bands Only),LGBMClassifier,0.9229,0.9236,0.8092,0.9245,0.9236,0.8687,0.8689,0.9153,0.9068,19.04
10,3,Sentinel-2 (Bands Only),RandomForestClassifier,0.9212,0.9243,0.7690,0.9207,0.9243,0.8686,0.8689,0.9212,0.9196,46.76
11,5,AlphaEarth,DecisionTreeClassifier,0.9205,0.9209,0.7522,0.9210,0.9209,0.8641,0.8641,0.9188,0.9148,33.15
12,1,Sentinel-2 (Indices Only),XGBClassifier,0.9118,0.9149,0.7545,0.9119,0.9149,0.8530,0.8532,0.9223,0.9228,18.78
13,2,Sentinel-2 (Indices Only),RandomForestClassifier,0.9107,0.9134,0.7482,0.9106,0.9134,0.8506,0.8508,0.9199,0.9208,97.42
14,4,Sentinel-2 (All Features),LinearSVC,0.8996,0.8973,0.7710,0.9104,0.8973,0.8260,0.8266,0.9045,0.8934,43.78
15,5,Sentinel-2 (All Features),DecisionTreeClassifier,0.8992,0.8961,0.7399,0.9036,0.8961,0.8230,0.8232,0.8962,0.8885,36.85
16,3,Sentinel-2 (Indices Only),LGBMClassifier,0.8864,0.8768,0.7930,0.9055,0.8768,0.7977,0.8005,0.8957,0.8821,15.79
17,4,Sentinel-2 (Bands Only),DecisionTreeClassifier,0.8654,0.8493,0.7324,0.8881,0.8493,0.7514,0.7537,0.8635,0.8415,7.57
18,5,Sentinel-2 (Bands Only),LinearSVC,0.8580,0.8438,0.6950,0.8824,0.8438,0.7441,0.7471,0.8773,0.8635,13.25
19,4,Sentinel-2 (Indices Only),DecisionTreeClassifier,0.8500,0.8332,0.7294,0.8780,0.8332,0.7322,0.7372,0.8663,0.8498,23
20,5,Sentinel-2 (Indices Only),LinearSVC,0.8322,0.8149,0.7143,0.8675,0.8149,0.7039,0.7100,0.8127,0.7977,19.48
